station_nm,site_no,N_samples,B1,B2,B3,B4,B2.B1,B3.B1,B4.B1,B3.B2,B4.B2,B4.B3,B4.B3.B1,Latitude,Longitude
152243869,1166,408,245,244,171.5,271.5,0.9922480620155039,0.7056057309864416,1.1358197884416925,0.7200682593856655,1.1521154855643045,1.5997630331753556,0.006518944843403693,45.35964807854651,-67.91986787981372
152243780,1176,469,242,253,185,312,1.0173611111111112,0.75,1.3463035019455254,0.726775956284153,1.2934782608695652,1.7894736842105263,0.0073894383280462776,45.40569721512545,-67.79585582041634
152243780,1178,484,235,244,171,289.5,1.002463786585107,0.7449613343033439,1.3094010800196367,0.7292620137299771,1.2673611111111112,1.7693663073169714,0.007307586880199557,45.406932386117255,-67.79702410489234
145082108,1193,485,236,225,168,235,0.9558011049723757,0.7280701754385965,1.016304347826087,0.7549019607843137,1.0570071258907363,1.4196891191709844,0.006120527306967985,45.50792656587676,-67.83540358765936
152243477,1247,329,250,267,166,274,1.0444915254237288,0.6730245231607629,1.1004672897196262,0.6612244897959184,1.0389610389610389,1.6216216216216217,0.006223941023626806,45.74734016053731,-67.85552751071356
152243475,1250,347,251,251,170,284,1.0301507537688441,0.6941580756013745,1.1782608695652175,0.6763636363636364,1.149171270718232,1.7482517482517483,0.006966343672954533,45.77019305343622,-67.85084545460744
152243469,1265,332,222,229.5,167.5,288.5,1.015731052036199,0.7508389261744967,1.2838914756446993,0.7438488054201831,1.2477207453913972,1.6625765584361103,0.007238606459308834,45.824161553486086,-67.76042826254671
152243469,1267,339,218,223,163,277,1.0141843971631206,0.7660818713450293,1.3348214285714286,0.7485714285714286,1.2751677852348993,1.7093023255813953,0.007786704334775315,45.83054698619461,-67.74079038150734
152243494,1232,340,245,247.5,176,271,0.9941103104212861,0.6991649183430005,1.1062962427977596,0.702921909119268,1.0835326318027212,1.523611111111111,0.006121363652073995,45.66248792659128,-67.74532528727869
152243494,1237,333,234,246,169,252,1.0029761904761905,0.7055555555555556,1.0672,0.708,1.0383561643835617,1.4782608695652173,0.005972130059721301,45.677983302752025,-67.80355668793564
152243494,1242,341,245,246,167,230,0.9757785467128027,0.6778846153846154,0.9591280653950953,0.7126099706744868,0.98,1.3777777777777778,0.0053812415654520915,45.69810276670516,-67.8094025694167
152243494,1243,329,254,247,171,252,0.9829545454545454,0.6875,1.0166666666666666,0.7075098814229249,1.037037037037037,1.450777202072539,0.0056352459016393444,45.71569837946206,-67.8271899235189
152243494,1249,331,250,252,177,277,1.0104529616724738,0.7248677248677249,1.0909090909090908,0.7220338983050848,1.0849056603773586,1.4893617021276595,0.006069327993993242,45.769225428507625,-67.80816293932385
152243494,1257,347,219,227,157,279,1.0275862068965518,0.7208480565371025,1.302788844621514,0.7004405286343612,1.2359550561797752,1.7462686567164178,0.007828967178560674,45.79625203999256,-67.80437716252948
152243494,1259,327,224,233,164,266,1.0316742081447965,0.7238493723849372,1.1811023622047243,0.7150259067357513,1.1535087719298245,1.63013698630137,0.007218639484085708,45.807885834641006,-67.79605647996374
D03CB32B-7849-4D33-A753-CF6A27EF9301,1208,311,233,251,185,254,1.0248756218905473,0.7871900826446281,1.1061946902654867,0.7567084078711985,1.0535211267605633,1.3869565217391304,0.005922715781870712,45.58612136194998,-67.51854878500359
D03CB32B-7849-4D33-A753-CF6A27EF9301,1217,324,232.5,250.5,190,271,1.0445005445005444,0.805093891646881,1.2141681971227425,0.7685439560439561,1.1285462608590002,1.4918597168597167,0.006092035105025716,45.60121095991484,-67.45027102967323
D03CB32B-7849-4D33-A753-CF6A27EF9301,1219,353,234,248,183,257,1.0363036303630364,0.7669902912621359,1.120879120879121,0.7390300230946882,1.0749185667752443,1.417989417989418,0.006042728678618477,45.60807797553715,-67.61705032727421
D03CB32B-7849-4D33-A753-CF6A27EF9301,1223,332,253,259.5,192.5,285.5,1.02075935054151,0.7708671929417228,1.149367307277046,0.7471203495299881,1.1045220015576325,1.5028706323616503,0.005798909177120639,45.629477201492634,-67.65419909815047
D03CB32B-7849-4D33-A753-CF6A27EF9301,1228,315,222,232,179,242,1.0390070921985815,0.8076923076923077,1.1660516605166051,0.7804878048780488,1.0728155339805825,1.394736842105263,0.005984251968503937,45.64496811855231,-67.47702117689285
D03CB32B-7849-4D33-A753-CF6A27EF9301,1233,334,230.5,248.5,178,283.5,1.0161726242371403,0.7747357293868922,1.2232992902890774,0.7415398928556823,1.1743060765191298,1.5572277227722773,0.006660895897071703,45.66647882203413,-67.70290585895727
152243533,1201,311,226,242,179,315,1.0504451038575668,0.8053097345132744,1.5086206896551724,0.7453798767967146,1.3380281690140845,1.8387096774193548,0.00795205549025583,45.54836615333045,-67.55348584175735
D03CB32B-7849-4D33-A753-CF6A27EF9301,1212,336,238.5,251.5,182.5,263.5,1.0357059460377438,0.7758480731436384,1.1843632958801498,0.7406927752451996,1.1131192096335827,1.4749062858205024,0.006220238798948703,45.596488771899246,-67.56577512426064
D03CB32B-7849-4D33-A753-CF6A27EF9301,1218,325,234,239,180,251,1.0128205128205128,0.7684563758389261,1.1338582677165354,0.7586206896551724,1.0998043052837574,1.421487603305785,0.006163961372508732,45.60515726434714,-67.46322471823349
145061926,1304,229,221,232,158,289,1.0350404312668464,0.758893280632411,1.2945736434108528,0.7109004739336493,1.2335329341317365,1.7902097902097902,0.007668972212110181,46.09004883110096,-68.02091556878585
145061926,1305,210,211,255.5,192,409.5,1.1179824561403509,0.8879117811278615,1.8978604292740417,0.7995674801322175,1.6297035669893405,2.1327438570364854,0.009405173177429355,46.097999408279236,-68.05799745314631
145081732,1258,190,222,223.5,171,300,1.0193714821763602,0.7783424908424909,1.3315621828842035,0.7732393392770751,1.2978494623655914,1.6660839160839163,0.007785255234990852,45.80039454487121,-68.15777875741928
145081386,1291,182,222.5,251,196,309,1.094787480209475,0.8393495405542291,1.35467720685112,0.7844436593101408,1.2681542642140469,1.5705492424242424,0.007307554031053603,45.95698925566613,-68.15014923551682
145081313,1295,175,263,270,180,308,1.0315789473684212,0.6809338521400778,1.1761363636363635,0.6575342465753424,1.1493212669683257,1.7331378299120235,0.00640891675374434,46.005419552207606,-68.14172599362686
151717768,666,335,264,249,160,240,0.950381679389313,0.5980392156862745,0.9017857142857143,0.64,0.9362745098039216,1.5227272727272727,0.005359167267855303,44.369629544458355,-68.2498904078803
