station_nm,Latitude,Longitude,site_no,N_samples,B1,B2,B3,B4,B2.B1,B3.B1,B4.B1,B3.B2,B4.B2,B4.B3,B4.B3.B1,cluster
53543387,43.02888934,-74.07131818,83,207,272,303,209,343,1.110465116,0.778115502,1.218430034,0.69140625,1.086580087,1.576923077,0.005494755,2
53543387,43.03069973,-74.07450198,84,199,278,309,212,340,1.126126126,0.761904762,1.254716981,0.6875,1.105,1.645914397,0.005731263,2
53545211,42.80726755,-73.81616842,56,228,243.5,310.5,217.5,379.5,1.225477421,0.840439435,1.67080549,0.682513091,1.336661546,2.026371895,0.007621637,2
55506359,41.37939651,-73.73689898,5,384,281,320,212,306,1.127943649,0.730853659,1.123180167,0.656315331,0.974586648,1.550545813,0.005156283,2
55506359,41.38050237,-73.73940499,6,372,279,315.5,206,302.5,1.123481383,0.720434618,1.12027483,0.655700892,0.98226817,1.5494556,0.005254817,2
60448191,41.05102831,-73.98329998,1,420,318,445,337,359,1.324869204,1.035010697,1.14436972,0.766870609,0.846501254,1.097280084,0.003304874,3
60460459,41.15721734,-73.9576111,2,647,341,470,313,318,1.354166667,0.90851735,0.980861244,0.674226804,0.717514124,1.045248869,0.002974721,3
61790779,41.80269897,-74.42909861,16,197,332,351,251,416,1.079754601,0.755208333,1.293515358,0.708,1.194736842,1.727019499,0.0051778,2
62634956,42.81070106,-75.88860252,57,220,334,383,238,356,1.132062924,0.694862309,1.062929812,0.617612128,0.952365112,1.578021978,0.004788339,2
62634956,42.81281022,-75.88990903,58,222,334,381.5,242.5,347,1.115333058,0.695707641,1.082856871,0.615182599,0.948074829,1.577821583,0.00464133,2
84198433,42.68719734,-78.03479907,40,370,349.5,451,299,401.5,1.260376344,0.841394716,1.117966872,0.668705665,0.899396981,1.361507794,0.0037865,3
84198433,42.69041681,-78.02906912,41,355,337,459,294,415,1.261016949,0.847272727,1.167019027,0.656779661,0.931330472,1.409090909,0.004037563,3
84198433,42.69583016,-78.02887738,42,375,340,443,302,397,1.279187817,0.860805861,1.134545455,0.667924528,0.902857143,1.343980344,0.003845051,3
84202017,42.38058955,-78.18827687,30,520,355,426.5,278,384,1.174123186,0.75277871,1.115241894,0.639789018,0.945856046,1.547957523,0.004125593,2
84202017,42.38059847,-78.19270475,31,511,368,424,275,378,1.160714286,0.748166259,1.025096525,0.644970414,0.888143177,1.453488372,0.003815937,2
