system:index,B1_median,B2_count,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,cloud_cover,cloud_qa_count,date,dissPermID,img_qual,included_RF,lat,loc_rowid,lon,nd_median,pixel_qa_median,radsat_qa_median,sensor,solar_az,solar_zen,sr_atmos_opacity_median,sr_cloud_qa_median,.geo
1_LT05_012029_19840518_0000000000000000023b,319.0,16,430.0,352.0,488.0,206.0,2816.0,157.0,5.0,0,1984-05-18,152432902,7.0,y,44.59699910717355,798,-70.24929781103279,-0.3144758735440932,66.0,0.0,LANDSAT_5,130.761963,32.929779,8.0,4.0,
1_LT05_012029_19840518_0000000000000000023d,406.0,8,494.0,440.0,556.0,276.0,2836.0,223.0,5.0,0,1984-05-18,152432466,7.0,y,44.60460187446969,802,-69.7785148400121,-0.2831168831168831,66.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,0.0,
1_LT05_012029_19840518_0000000000000000023f,375.0,13,460.0,379.0,487.0,253.0,2836.0,190.0,5.0,0,1984-05-18,152432466,7.0,y,44.61026939190861,804,-69.7822203529875,-0.2903225806451613,66.0,0.0,LANDSAT_5,130.761963,32.929779,8.0,0.0,
1_LT05_012029_19840518_00000000000000000240,375.0,5,460.0,410.0,487.0,253.0,2831.0,223.0,5.0,0,1984-05-18,152432466,7.0,y,44.61267284737642,805,-69.7795671878607,-0.2536873156342183,68.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,0.0,
1_LT05_012029_19840518_00000000000000000242,327.0,16,426.0,349.0,417.0,182.0,2836.0,123.0,5.0,0,1984-05-18,152432466,7.0,y,44.61433609206936,807,-69.78801272525592,-0.40131578947368424,68.0,0.0,LANDSAT_5,130.761963,32.929779,8.0,32.0,
1_LT05_012029_19840518_0000000000000000024b,373.0,4,459.0,409.0,556.0,277.0,2836.0,223.0,5.0,0,1984-05-18,152432473,7.0,y,44.636471069698665,816,-69.84365338820082,-0.24728260869565216,66.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,0.0,
1_LT05_012029_19840518_0000000000000000024e,480.0,11,513.0,488.0,547.0,273.0,2826.0,223.0,5.0,0,1984-05-18,152431859,7.0,y,44.649701222524236,821,-69.32559948691254,-0.3053435114503817,68.0,0.0,LANDSAT_5,130.761963,32.929779,48.0,0.0,
1_LT05_012029_19840518_0000000000000000024f,416.0,12,479.0,427.0,513.0,249.0,2821.0,121.0,5.0,4,1984-05-18,152431859,7.0,y,44.651600799573,822,-69.32181816921921,-0.3159340659340659,96.0,0.0,LANDSAT_5,130.761963,32.929779,48.0,4.0,
1_LT05_012029_19840518_00000000000000000255,337.0,16,370.0,357.0,422.0,207.0,2831.0,157.0,5.0,0,1984-05-18,106451797,7.0,y,44.65969406798501,829,-70.67189573606997,-0.2824956672443674,68.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,0.0,
1_LT05_012029_19840518_00000000000000000256,302.0,15,334.0,295.0,353.0,160.0,2831.0,124.0,5.0,0,1984-05-18,106451797,7.0,y,44.659698527086064,830,-70.67780404496578,-0.3522267206477733,68.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,32.0,
1_LT05_012029_19840518_00000000000000000265,278.0,14,329.0,294.0,351.0,159.0,2816.0,90.0,5.0,0,1984-05-18,106451693,7.0,y,44.695005689227244,848,-70.45172316245502,-0.3483606557377049,68.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,32.0,
1_LT05_012029_19840518_0000000000000000026e,273.0,16,274.0,269.0,320.0,88.0,2821.0,90.0,5.0,0,1984-05-18,118181950,7.0,y,44.71527676261621,858,-71.05429932421139,-0.5138121546961326,68.0,0.0,LANDSAT_5,130.761963,32.929779,12.0,32.0,
1_LT05_012029_19840518_00000000000000000272,274.0,14,327.0,292.0,420.0,158.0,2811.0,123.0,5.0,0,1984-05-18,152432074,7.0,y,44.72567538627285,864,-70.08021761728824,-0.34845360824742266,68.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,32.0,
1_LT05_012029_19840518_00000000000000000273,369.0,15,431.0,353.0,489.0,230.0,2811.0,190.0,5.0,0,1984-05-18,152432074,7.0,y,44.72916240329664,865,-70.08749932930851,-0.3040847201210287,66.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,0.0,
1_LT05_012029_19840518_0000000000000000027d,508.0,1,556.0,524.0,621.0,346.0,2836.0,223.0,5.0,0,1984-05-18,152431003,7.0,y,44.761036057626676,883,-69.20455718881675,-0.2328159645232816,66.0,0.0,LANDSAT_5,130.761963,32.929779,25.0,0.0,
1_LT05_012029_19840518_0000000000000000027e,265.0,15,305.0,238.0,285.0,112.0,2821.0,90.0,5.0,0,1984-05-18,118181950,7.0,y,44.76281077984595,884,-71.02878434798356,-0.4628297362110312,68.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,32.0,
1_LT05_012029_19840518_0000000000000000027f,270.0,18,308.0,269.0,320.0,136.0,2802.0,90.0,5.0,0,1984-05-18,118181788,7.0,y,44.76384083218928,886,-70.92445921973714,-0.38738738738738737,68.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,36.0,
1_LT05_012029_19840518_00000000000000000281,323.0,16,344.0,301.0,356.0,183.0,2792.0,158.0,5.0,0,1984-05-18,{EB75ECC6-BD1B-448A-BB4A-0BEA5CFC3880},7.0,y,44.77532747650296,888,-70.89718289859321,-0.2923076923076923,68.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,32.0,
1_LT05_012029_19840518_00000000000000000286,281.0,16,305.0,269.0,285.0,88.0,2807.0,56.0,5.0,0,1984-05-18,118181950,7.0,y,44.781583595280956,894,-71.04580027760352,-0.5521628498727735,68.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,32.0,
1_LT05_012029_19840518_00000000000000000290,268.0,16,272.0,239.0,286.0,88.0,2797.0,56.0,5.0,0,1984-05-18,118181950,7.0,y,44.80481997087046,907,-71.01702123940457,-0.5111111111111111,68.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,32.0,
1_LT05_012029_19840518_00000000000000000291,361.0,11,434.0,385.0,525.0,277.0,2821.0,225.0,5.0,0,1984-05-18,152431799,7.0,y,44.80661252949395,908,-70.1499891714715,-0.22081575246132207,66.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,8.0,
1_LT05_012029_19840518_00000000000000000293,313.0,16,366.0,354.0,421.0,206.0,2821.0,157.0,5.0,0,1984-05-18,152431799,7.0,y,44.81083083909051,910,-70.15222318109927,-0.290448343079922,68.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,0.0,
1_LT05_012029_19840518_00000000000000000299,376.0,7,426.0,411.0,557.0,277.0,2836.0,225.0,5.0,0,1984-05-18,152431192,7.0,y,44.82877426172957,918,-69.76434827596529,-0.2119487908961593,66.0,0.0,LANDSAT_5,130.761963,32.929779,9.0,0.0,
1_LT05_012029_19840518_000000000000000002a9,254.0,17,307.0,239.0,320.0,112.0,2816.0,90.0,5.0,0,1984-05-18,118181556,7.0,y,44.86063007965539,937,-71.0290295985415,-0.46539379474940334,68.0,0.0,LANDSAT_5,130.761963,32.929779,12.0,36.0,
1_LT05_012029_19840518_000000000000000002ac,266.0,15,305.0,236.0,249.0,111.0,2792.0,89.0,5.0,0,1984-05-18,118181450,7.0,y,44.881650282021326,943,-70.8021772915485,-0.46634615384615385,68.0,0.0,LANDSAT_5,130.761963,32.929779,15.0,32.0,
1_LT05_012029_19840518_000000000000000002ad,235.0,15,244.0,212.0,286.0,88.0,2792.0,55.0,5.0,0,1984-05-18,118181326,7.0,y,44.88270262986995,944,-70.59362513527883,-0.5191256830601093,68.0,0.0,LANDSAT_5,130.761963,32.929779,8.0,32.0,
